removal_date,debts_removed
2026-04-16,800
2026-04-17,949
2026-04-20,1000
2026-04-21,1000
2026-04-22,2844
2026-04-23,1933
2026-04-24,1347
2026-04-27,2056
2026-04-28,1644
2026-04-29,1170
2026-04-30,153
2026-05-04,2442
2026-05-05,1709
2026-05-06,1321
2026-05-07,2822
2026-05-08,2740
2026-05-12,2564
2026-05-13,2490
2026-05-14,2648
2026-05-15,2749
2026-05-19,2431
2026-05-20,2675
2026-05-21,2687
2026-05-22,2678
2026-05-26,2282
2026-05-27,2693
2026-05-28,2829
2026-05-29,2476
2026-06-03,2677
2026-06-04,2771
2026-06-05,2749
2026-06-08,2184
2026-06-09,2205
2026-06-10,3000
2026-06-11,1596
2026-06-12,1317
2026-06-15,1339
2026-06-16,1253
2026-06-17,1175
2026-06-18,1117
2026-06-19,897
2026-06-22,541
2026-06-23,1171
2026-06-24,1054
